"","season","team","round","pick","playerid","full_name","name","side","category","position","aval","gms","Games","AverageValue","AVPer16"
"1",2017,"KC",1,10,"MahoPa00","Patrick Mahomes","P.Mahomes","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",31,40,20.6451612903226
"2",2018,"IND",2,36,"LeonDa00","Darius Leonard","D.Leonard","D","LB","LB","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",28,30,17.1428571428571
"3",2018,"BAL",1,32,"JackLa00","Lamar Jackson","L.Jackson","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",31,33,17.0322580645161
"4",2017,"HOU",1,12,"WatsDe00","Deshaun Watson","D.Watson","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",38,39,16.4210526315789
"5",2005,"GB",1,24,"RodgAa00","Aaron Rodgers","A.Rodgers","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",181,184,16.2651933701657
"6",2012,"SEA",3,75,"WilsRu00","Russell Wilson","R.Wilson","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",128,129,16.125
"7",2011,"HOU",1,11,"WattJ.00","J.J. Watt","J.Watt","D","DL","DE","//*[@id=""defense""]/tfoot/tr[1]/td[23]","//*[@id=""defense""]/tfoot/tr[1]/td[4]",112,112,16
"8",2011,"CAR",1,1,"NewtCa00","Cam Newton","C.Newton","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",125,123,15.744
"9",2000,"NE",6,199,"BradTo00","Tom Brady","T.Brady","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",285,280,15.719298245614
"10",2001,"SD",2,32,"BreeDr00","Drew Brees","D.Brees","O","QB","QB","//*[@id=""passing""]/tfoot/tr[1]/td[30]","//*[@id=""passing""]/tfoot/tr[1]/td[4]",275,267,15.5345454545455
