"","Name","Position","College","Draft.Year","Team","Draft.Round","Pick.Number","PlayerID","Games","Avg.Value","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","Pro.Bowls","All.Pros"
"1","Ed Reed","DB",NA,2002,"BAL",1,24,"ReedEd00",174,136,12.5057471264368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Richard Sherman","DB","Stanford",2011,"SEA",5,154,"SherRi00",134,103,12.2985074626866,74.625,195,NA,4.54,16,38,125,4.33,6.82,3,5
"3","Darrelle Revis","DB","Pittsburgh",2007,"NYJ",1,14,"ReviDa99",145,106,11.6965517241379,71.5,204,NA,NA,16,NA,NA,NA,NA,6,5
"4","Troy Polamalu","DB",NA,2003,"PIT",1,16,"PolaTr99",158,115,11.6455696202532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Marcus Peters","DB","Washington",2015,"KC",1,18,"PeteMa00",77,56,11.6363636363636,71.625,197,13,4.53,17,37.5,121,4.08,7.08,2,3
"6","Patrick Peterson","DB","Louisiana State",2011,"ARI",1,5,"PetePa00",138,100,11.5942028985507,72.25,219,NA,4.31,15,38,126,4.07,6.58,6,3
"7","Minkah Fitzpatrick","DB","Alabama",2018,"MIA",1,11,"FitzMi00",32,23,11.5,72.125,204,NA,4.46,14,33,121,NA,NA,NA,NA
"8","Bob Sanders","DB","Iowa",2004,"IND",2,44,"SandBo99",50,34,10.88,68.4,204,NA,4.4,15,41.5,128,3.91,6.7,1,NA
"9","Jalen Ramsey","DB","Florida State",2016,"JAX",1,5,"RamsJa00",60,40,10.6666666666667,73.25,209,NA,4.41,14,41.5,135,4.18,6.94,NA,NA
"10","Earl Thomas","DB","Texas",2010,"SEA",1,14,"ThomEa99",140,92,10.5142857142857,70.25,202,NA,4.43,21,NA,113,NA,NA,NA,NA
"11","Eddie Jackson","DB","Alabama",2017,"CHI",4,112,"JackEd01",46,30,10.4347826086957,72,201,NA,NA,10,NA,NA,4.2,NA,1,NA
"12","TreDavious White","DB","Louisiana State",2017,"BUF",1,27,"WhitTr01",47,30,10.2127659574468,71.25,192,NA,4.47,16,32,117,4.32,6.9,NA,NA
"13","Jamal Adams","DB","Louisiana State",2017,"NYJ",1,6,"AdamJa00",46,29,10.0869565217391,71.625,214,11,4.56,18,31.5,120,4.13,6.96,1,NA
"14","Derwin James","DB","Florida State",2018,"LAC",1,17,"JameDe00",21,13,9.90476190476191,73.75,215,NA,4.47,21,40,132,NA,NA,NA,NA
"15","Eric Berry","DB","Tennessee",2010,"KC",1,5,"BerrEr99",89,54,9.70786516853933,71.625,211,NA,4.4,19,43,130,4.23,6.8,NA,NA
"16","Stephon Gilmore","DB","South Carolina",2012,"BUF",1,10,"GilmSt00",113,68,9.6283185840708,72.5,190,NA,4.38,15,36,123,3.94,6.61,2,2
"17","Sean Taylor","DB",NA,2004,"WAS",1,5,"TaylSe20",55,33,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Harrison Smith","DB","Notre Dame",2012,"MIN",1,29,"SmitHa00",114,65,9.12280701754386,73.875,213,NA,4.54,19,34,122,4.12,6.63,1,NA
"19","Roy Williams","DB","Oklahoma",2002,"DAL",1,8,"WillRo03",114,65,9.12280701754386,72.4,219,NA,4.53,13,30.5,111,NA,NA,3,NA
"20","Mike Brown","DB","Nebraska",2000,"CHI",2,39,"BrowMi99",116,66,9.10344827586207,69.9,204,NA,4.6,14,36,116,4.01,6.93,1,1
"21","Asante Samuel","DB","Central Florida",2003,"NE",4,120,"SamuAs20",157,86,8.76433121019108,70.9,185,NA,4.52,9,35.5,120,4.09,6.94,2,3
"22","Aqib Talib","DB","Kansas",2008,"TB",1,20,"TaliAq99",148,81,8.75675675675676,72.75,202,NA,4.5,10,38,131,4.22,6.82,5,2
"23","Eric Weddle","DB","Utah",2007,"SD",2,37,"WeddEr99",201,108,8.59701492537313,71.25,203,NA,4.5,11,33.5,113,4.12,6.78,NA,NA
