"","X","Name","Position","College","DraftYear","Team","DraftRound","PickNumber","PlayerID","Games","AvgValue","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","ProBowls","AllPros"
"1",7,"J.J. Watt","DL","Wisconsin",2011,"HOU",1,11,"WattJ.00",112,112,16,77.375,290,NA,4.91,34,37,120,4.21,6.88,5,6
"2",11,"Aaron Donald","DL","Pittsburgh",2014,"STL",1,13,"DonaAa00",94,90,15.31914894,72.75,285,NA,4.68,35,32,115,4.39,7.11,6,6
"3",70,"Haloti Ngata","DL","Oregon",2006,"BAL",1,12,"NgatHa20",180,129,11.46666667,76.125,338,NA,5.18,37,31.5,110,4.65,7.95,5,5
"4",80,"Fletcher Cox","DL","Mississippi State",2012,"PHI",1,12,"CoxxFl00",125,88,11.264,76,298,NA,4.77,30,26,103,4.53,7.07,5,3
"5",85,"Kris Jenkins","DL","Maryland",2001,"CAR",2,44,"JenkKr00",108,75,11.11111111,76.9,318,NA,5.18,33,31,108,4.4,7.85,NA,2
"6",89,"Richard Seymour","DL",NA,2001,"NE",1,6,"SeymRi00",164,113,11.02439024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",91,"Julius Peppers","DL",NA,2002,"CAR",1,2,"PeppJu99",266,183,11.0075188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",92,"Nick Bosa","DL","Ohio State",2019,"SF",1,2,"BosaNi00",16,11,11,75.75,266,NA,4.79,29,33.5,116,4.14,7.1,1,NA
"9",99,"Geno Atkins","DL","Georgia",2010,"CIN",4,120,"AtkiGe99",153,104,10.87581699,73.375,293,NA,4.75,34,33,117,4.43,7.33,6,5
"10",101,"Calais Campbell","DL","Miami (FL)",2008,"ARI",2,50,"CampCa99",186,125,10.75268817,79.75,290,NA,5.11,16,29.5,111,4.69,7.45,4,4
"11",102,"Ndamukong Suh","DL","Nebraska",2010,"DET",1,2,"SuhxNd99",158,106,10.73417722,75.875,307,NA,5.03,32,35.5,105,4.44,7.21,5,7
"12",104,"Jared Allen","DL","Idaho State",2004,"KC",4,126,"AlleJa22",187,125,10.69518717,78,265,NA,4.76,13,33,120,4.34,7.11,5,4
"13",107,"Joey Bosa","DL","Ohio State",2016,"SD",1,3,"BosaJo00",51,34,10.66666667,77.25,269,NA,4.86,24,32,120,4.21,6.89,2,1
"14",110,"Muhammad Wilkerson","DL","Temple",2011,"NYJ",1,30,"WilkMu00",108,72,10.66666667,76.125,315,NA,4.96,27,26,106,4.59,7.31,1,3
"15",128,"Chandler Jones","DL","Syracuse",2012,"NE",1,21,"JoneCh03",119,77,10.35294118,77.375,266,NA,4.77,22,35,120,4.38,7.07,1,1
"16",137,"Cameron Jordan","DL","California",2011,"NO",1,24,"JordCa00",144,92,10.22222222,76.125,287,NA,4.74,25,31,117,4.37,7.07,5,4
"17",171,"Myles Garrett","DL","Texas A&M",2017,"CLE",1,1,"GarrMy00",37,23,9.945945946,76.25,272,31,4.64,33,41,128,4.2,NA,1,1
"18",173,"DeForest Buckner","DL","Oregon",2016,"SF",1,7,"BuckDe00",63,39,9.904761905,79,291,9,5.05,NA,32,116,4.47,7.51,NA,NA
"19",175,"Vince Wilfork","DL","Miami (FL)",2004,"NE",1,21,"WilfVi20",189,117,9.904761905,73.3,323,NA,5.21,36,NA,NA,NA,NA,4,4
"20",176,"Jurrell Casey","DL","Southern California",2011,"TEN",3,77,"CaseJu00",139,86,9.899280576,72.625,300,NA,5.04,26,27.5,101,4.78,7.51,5,1
"21",180,"Kevin Williams","DL","Oklahoma State",2003,"MIN",1,9,"WillKe98",203,125,9.852216749,76.9,304,NA,4.84,23,30,112,5.01,7.66,NA,NA
"22",187,"Jadeveon Clowney","DL","South Carolina",2014,"HOU",1,1,"ClowJa00",75,46,9.813333333,77.25,266,NA,4.53,21,37.5,123,4.43,7.27,2,NA
"23",192,"John Abraham","DL",NA,2000,"NYJ",1,13,"AbraJo00",192,117,9.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",209,"Justin Smith","DL","Missouri",2001,"CIN",1,4,"SmitJu20",221,132,9.556561086,76.1,267,NA,4.64,26,34,117,NA,NA,NA,3
"25",218,"Sheldon Richardson","DL","Missouri",2013,"NYJ",1,13,"RichSh00",105,62,9.447619048,74.5,294,9,5.02,30,32,116,NA,NA,1,1
"26",220,"Gerald McCoy","DL","Oklahoma",2010,"TB",1,3,"McCoGe99",139,82,9.438848921,76.125,295,NA,5.04,23,30.5,114,4.48,7.32,6,4
"27",228,"Mario Williams","DL","North Carolina State",2006,"HOU",1,1,"WillMa22",158,92,9.316455696,74.4,269,NA,4.75,25,34,111,4.54,7.49,4,4
"28",229,"LaMarr Woodley","DL","Michigan",2007,"PIT",2,46,"WoodLa99",110,64,9.309090909,73.5,266,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",233,"Danielle Hunter","DL","Louisiana State",2015,"MIN",3,88,"HuntDa01",78,45,9.230769231,77.125,252,NA,4.57,25,NA,NA,NA,NA,2,2
"30",255,"Darnell Dockett","DL","Florida State",2004,"ARI",3,64,"DockDa20",158,89,9.012658228,75.4,297,NA,5,26,31,105,NA,NA,2,1
"31",268,"Kyle Williams","DL",NA,2006,"BUF",5,134,"WillKy20",183,102,8.918032787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",271,"Yannick Ngakoue","DL","Maryland",2016,"JAX",3,69,"NgakYa00",63,35,8.888888889,74,252,NA,4.75,26,34.5,118,4.5,7.35,1,NA
"33",272,"Cameron Heyward","DL","Ohio State",2011,"PIT",1,31,"HeywCa01",134,74,8.835820896,76.625,294,NA,4.92,NA,30,NA,NA,NA,2,NA
"34",276,"Demarcus Lawrence","DL","Boise State",2014,"DAL",2,34,"LawrDe00",80,44,8.8,74.875,251,NA,4.8,20,34.5,112,4.31,7.46,NA,NA
"35",277,"Casey Hampton","DL","Texas",2001,"PIT",1,19,"HampCa00",173,95,8.786127168,73.3,314,NA,5.25,34,NA,NA,NA,NA,1,NA
"36",281,"Tamba Hali","DL",NA,2006,"KC",1,20,"HaliTa20",177,97,8.768361582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",293,"Aaron Schobel","DL","Texas Christian",2001,"BUF",2,46,"SchoAa99",133,72,8.661654135,75.6,263,NA,4.75,NA,38,119,4.03,7.16,2,1
"38",300,"Melvin Ingram","DL",NA,2012,"SD",1,18,"IngrMe00",106,57,8.603773585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",306,"Aaron Kampman","DL",NA,2002,"GB",5,156,"KampAa99",123,66,8.585365854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",308,"Ryan Kerrigan","DL","Purdue",2011,"WAS",1,16,"KerrRy00",140,75,8.571428571,75.875,267,NA,4.79,31,33.5,122,4.39,7.18,NA,NA
"41",313,"Linval Joseph","DL","East Carolina (NC)",2010,"NYG",2,46,"JoseLi99",141,75,8.510638298,76.5,328,NA,5.09,39,30,100,4.71,8.12,2,NA
"42",317,"Marcell Dareus","DL","Alabama",2011,"BUF",1,3,"DareMa00",121,64,8.462809917,75.125,319,NA,4.93,24,27,NA,4.62,7.83,2,1
"43",318,"Robert Quinn","DL","North Carolina",2011,"STL",1,14,"QuinRo00",125,66,8.448,76,265,NA,4.62,22,34,116,4.4,7.13,2,2
"44",319,"Marcus Stroud","DL","Georgia",2001,"JAX",1,13,"StroMa01",146,77,8.438356164,78.1,321,NA,5.13,21,30,110,4.72,8.07,NA,NA
"45",322,"Corey Simon","DL",NA,2000,"PHI",1,6,"SimoCo00",95,50,8.421052632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",326,"Jason Pierre-Paul","DL","South Florida",2010,"NYG",1,15,"PierJa99",137,72,8.408759124,76.75,270,NA,4.71,19,30.5,115,4.67,7.18,2,1
"47",330,"Jay Ratliff","DL","Auburn",2005,"DAL",7,224,"RatlJa20",122,64,8.393442623,75.75,292,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",331,"Trey Flowers","DL","Arkansas",2015,"NE",4,101,"FlowTr00",61,32,8.393442623,74.125,266,NA,4.93,28,36.5,121,4.4,7.34,NA,1
"49",337,"Tommie Harris","DL","Oklahoma",2004,"CHI",1,14,"HarrTo99",117,61,8.341880342,74.5,295,NA,4.68,29,NA,NA,NA,NA,NA,NA
"50",339,"John Henderson","DL","Tennessee",2002,"JAX",1,9,"HendJo99",146,76,8.328767123,78.9,306,NA,4.87,24,27.5,106,4.66,7.71,NA,1
"51",341,"Leonard Williams","DL","Southern California",2015,"NYJ",1,6,"WillLe02",79,41,8.303797468,76.625,302,22,4.97,NA,29.5,106,4.53,7.59,NA,NA
"52",345,"Shaun Ellis","DL",NA,2000,"NYJ",1,12,"ElliSh00",184,95,8.260869565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",348,"Brandon Williams","DL","Missouri Southern",2013,"BAL",3,94,"WillBr02",97,50,8.24742268,73.25,335,NA,5.37,38,29.5,102,4.91,8.09,1,NA
"54",355,"Dontari Poe","DL","Memphis",2012,"KC",1,11,"PoexDo00",121,62,8.198347107,75.5,346,NA,4.89,44,29.5,105,4.56,7.9,1,1
"55",362,"Sione Pouha","DL","Utah",2005,"NYJ",3,88,"PouhSi20",106,54,8.150943396,75.375,325,NA,5.02,32,32.5,107,4.49,7.84,NA,NA
"56",363,"Derek Wolfe","DL","Cincinnati",2012,"DEN",2,36,"WolfDe00",108,55,8.148148148,77.125,295,NA,4.93,33,33.5,108,4.44,7.26,NA,NA
"57",367,"Courtney Brown","DL",NA,2000,"CLE",1,1,"BrowCo22",61,31,8.131147541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
