"","Draft Year","Team","Draft Round","Pick Number","PlayerID","Games","Avg Value","AV16","Name","Position","College","Height","Weight","Wonderlic","40 YD","Bench","Vert","Broad","Shuttle","3Cone","Pro Bowls","All Pros"
"1",2017,"KC",1,10,"MahoPa00",31,40,20.6451612903226,"Patrick Mahomes","QB","Texas Tech",74.125,225,24,4.8,NA,30,114,4.08,6.88,2,1
"2",2018,"IND",2,36,"LeonDa00",28,30,17.1428571428571,"Darius Leonard","LB","South Carolina State",74,234,NA,4.7,17,NA,NA,NA,NA,NA,NA
"3",2018,"BAL",1,32,"JackLa00",31,33,17.0322580645161,"Lamar Jackson","QB","Louisville",74.25,216,NA,NA,NA,NA,NA,NA,NA,1,1
"4",2017,"HOU",1,12,"WatsDe00",38,39,16.4210526315789,"Deshaun Watson","QB","Clemson",74.125,221,20,4.66,NA,32.5,119,4.31,6.95,2,NA
"5",2005,"GB",1,24,"RodgAa00",181,184,16.2651933701657,"Aaron Rodgers","QB","California",74,223,39,4.75,NA,34.5,110,NA,7.38,8,4
"6",2012,"SEA",3,75,"WilsRu00",128,129,16.125,"Russell Wilson","QB","Wisconsin",70.625,204,28,4.53,NA,34,118,4.09,6.97,6,1
"7",2011,"HOU",1,11,"WattJ.00",112,112,16,"J.J. Watt","DL","Wisconsin",77.375,290,NA,4.91,34,37,120,4.21,6.88,5,6
"8",2011,"CAR",1,1,"NewtCa00",125,123,15.744,"Cam Newton","QB","Auburn",77,248,21,4.56,NA,35,126,4.18,6.92,3,1
"9",2000,"NE",6,199,"BradTo00",285,280,15.719298245614,"Tom Brady","QB","Michigan",76.4,211,33,5.3,NA,24.5,99,4.38,7.2,14,7
"10",2001,"SD",2,32,"BreeDr00",275,267,15.5345454545455,"Drew Brees","QB","Purdue",72.3,213,28,4.85,NA,32,105,4.21,7.09,13,5
"11",2014,"STL",1,13,"DonaAa00",94,90,15.3191489361702,"Aaron Donald","DL","Pittsburgh",72.75,285,NA,4.68,35,32,115,4.39,7.11,6,6
"12",2017,"NO",3,67,"KamaAl00",45,43,15.2888888888889,"Alvin Kamara","RB","Tennessee",69.75,214,24,4.56,15,39.5,131,4.56,NA,3,NA
"13",2007,"SF",1,11,"WillPa98",112,107,15.2857142857143,"Patrick Willis","LB","Mississippi",73.125,242,NA,4.53,22,39,119,4.46,7.23,4,6
"14",2008,"ATL",1,3,"RyanMa00",189,179,15.1534391534392,"Matt Ryan","QB","Boston College",76.75,228,32,4.94,NA,NA,NA,4.51,7.4,4,3
"15",2012,"SEA",2,47,"WagnBo00",119,112,15.0588235294118,"Bobby Wagner","LB","Utah State",72.375,241,NA,4.46,NA,NA,NA,NA,NA,NA,NA
"16",2016,"DAL",4,135,"PresDa01",64,60,15,"Dak Prescott","QB","Mississippi State",74.25,226,NA,4.79,NA,32.5,116,4.32,7.11,2,NA
"17",2016,"DAL",1,4,"ElliEz00",56,52,14.8571428571429,"Ezekiel Elliott","RB","Ohio State",71.75,225,NA,4.47,NA,32.5,118,NA,NA,3,2
"18",2001,"SD",1,5,"TomlLa00",170,157,14.7764705882353,"LaDainian Tomlinson","RB","Texas Christian",70.3,221,NA,4.43,18,40.5,124,4.21,6.84,5,6
