,Name,Position,College,DraftYear,Team,DraftRound,PickNumber,PlayerID,Games,AvgValue,AV16,Height,Weight,Wonderlic,Forty,Bench,Vert,Broad,Shuttle,ThreeCone,ProBowls,AllPros
1,Patrick Mahomes,QB,Texas Tech,2017,KC,1,10,MahoPa00,31,40,20.64516129,74.125,225,24,4.8,NA,30,114,4.08,6.88,2,1
2,Darius Leonard,LB,South Carolina State,2018,IND,2,36,LeonDa00,28,30,17.14285714,74,234,NA,4.7,17,NA,NA,NA,NA,NA,NA
3,Lamar Jackson,QB,Louisville,2018,BAL,1,32,JackLa00,31,33,17.03225806,74.25,216,NA,NA,NA,NA,NA,NA,NA,1,1
4,Deshaun Watson,QB,Clemson,2017,HOU,1,12,WatsDe00,38,39,16.42105263,74.125,221,20,4.66,NA,32.5,119,4.31,6.95,2,NA
5,Aaron Rodgers,QB,California,2005,GB,1,24,RodgAa00,181,184,16.26519337,74,223,39,4.75,NA,34.5,110,NA,7.38,8,4
6,Russell Wilson,QB,Wisconsin,2012,SEA,3,75,WilsRu00,128,129,16.125,70.625,204,28,4.53,NA,34,118,4.09,6.97,6,1
7,J.J. Watt,DL,Wisconsin,2011,HOU,1,11,WattJ.00,112,112,16,77.375,290,NA,4.91,34,37,120,4.21,6.88,5,6
8,Cam Newton,QB,Auburn,2011,CAR,1,1,NewtCa00,125,123,15.744,77,248,21,4.56,NA,35,126,4.18,6.92,3,1
9,Tom Brady,QB,Michigan,2000,NE,6,199,BradTo00,285,280,15.71929825,76.4,211,33,5.3,NA,24.5,99,4.38,7.2,14,7
10,Drew Brees,QB,Purdue,2001,SD,2,32,BreeDr00,275,267,15.53454545,72.3,213,28,4.85,NA,32,105,4.21,7.09,13,5
11,Aaron Donald,DL,Pittsburgh,2014,STL,1,13,DonaAa00,94,90,15.31914894,72.75,285,NA,4.68,35,32,115,4.39,7.11,6,6
12,Alvin Kamara,RB,Tennessee,2017,NO,3,67,KamaAl00,45,43,15.28888889,69.75,214,24,4.56,15,39.5,131,4.56,NA,3,NA
13,Patrick Willis,LB,Mississippi,2007,SF,1,11,WillPa98,112,107,15.28571429,73.125,242,NA,4.53,22,39,119,4.46,7.23,4,6
14,Matt Ryan,QB,Boston College,2008,ATL,1,3,RyanMa00,189,179,15.15343915,76.75,228,32,4.94,NA,NA,NA,4.51,7.4,4,3
15,Bobby Wagner,LB,Utah State,2012,SEA,2,47,WagnBo00,119,112,15.05882353,72.375,241,NA,4.46,NA,NA,NA,NA,NA,NA,NA
16,Dak Prescott,QB,Mississippi State,2016,DAL,4,135,PresDa01,64,60,15,74.25,226,NA,4.79,NA,32.5,116,4.32,7.11,2,NA
17,Ezekiel Elliott,RB,Ohio State,2016,DAL,1,4,ElliEz00,56,52,14.85714286,71.75,225,NA,4.47,NA,32.5,118,NA,NA,3,2
