"Player","Prediction","Pick"
"Andrew Thomas",94.6000618397542,4
"Justin Herbert",40.7803807338775,6
"Derrick Brown",96.107031562588,7
"Tristan Wirfs",36.5142662931651,13
"CeeDee Lamb",106.529466671616,17
"Austin Jackson",59.1375216274956,18
"Jalen Reagor",101.029962075604,21
"Cesar Ruiz",78.5750467256546,24
"Jordan Love",56.3213314307897,26
"Isaiah Wilson",56.8497665797157,29
"Jeff Gladney",111.293918596487,31
"Ross Blacklock",107.163854928178,40
"Jonathan Taylor",66.8141850885277,41
"Chase Claypool",91.86412108225,49
"Jaylon Johnson",105.754316018519,50
"Jalen Hurts",34.0942157310906,53
"A.J. Epenesa",112.278784715273,54
"Raekwon Davis",99.6909319500162,56
"Ezra Cleveland",51.5853622770909,58
"Denzel Mims",84.5314482875669,59
"Kristian Fulton",96.6718575241121,61
"AJ Dillon",64.102463208641,62
"Willie Gay Jr.",62.5388500949157,63
"Logan Wilson",117.812282772527,65
"Antonio Gibson",86.3646164862377,66
"Damien Lewis",74.8515382755368,69
"DaVon Hamilton",95.929051056202,73
"Zack Baun",137.152851845164,74
"Jonah Jackson",99.3994295232615,75
"Michael Ojemudia",94.3845024380859,77
"Matt Hennessy",97.3695766418561,78
"Jonathan Greenard",112.124774156513,90
"Devin Asiasi",132.166457564479,91
"Josiah Deguara",97.5510838378373,94
"Jacob Phillips",134.243626185513,97
"Malik Harrison",113.356788990676,98
"Matt Peart",64.1323976047204,99
"Dalton Keene",110.030416733488,101
"Alex Highsmith",105.494050813859,102
"Davion Taylor",105.802814662138,103
"Tyre Phillips",92.410098197754,106
"John Simpson",74.49059395739,109
"Joshua Kelley",104.230746870665,112
"Harrison Bryant",142.878310783065,115
"D.J. Wonnum",96.4975034036646,117
"Mykal Walker",136.721007834289,119
"Jacob Eason",82.088259495428,122
"Charlie Heck",91.9283384434319,126
"K'Von Wallace",84.6631933329407,127
"Gabriel Davis",113.862139466299,128
"Cameron Clark",106.950538724468,129
"James Lynch",101.915182621878,130
"Colby Parkinson",130.925464812419,133
"Brycen Hopkins",103.825509233381,136
"John Reid",91.9933255656778,141
"Antonio Gandy-Golden",124.861148658323,142
"DeeJay Dallas",128.14625334359,144
"Jack Driscoll",77.8144610729591,145
"Alton Robinson",92.9922870121088,148
"Danny Pinter",62.3324749187984,149
"Joe Reed",101.029962075604,151
"Colton McKivitz",124.260419535442,153
"Jason Strowbridge",107.933864415542,154
"Nick Harris",96.8399713338427,160
"Kindle Vildor",81.7039387984281,163
"Quintez Cephus",148.692335241043,166
"Jake Fromm",78.4450145410779,167
"Harrison Hand",97.2987877507457,169
"Darnell Mooney",84.5314482875669,173
"Larrell Murchison",100.00943516289,174
"K.J. Osborn",102.863130274275,176
"Justin Strnad",154.471303615201,178
"Alohi Gilman",125.8289456107,186
"Charlie Woerner",121.637330361892,190
"Jon Runyan",84.4760707972039,192
"Justin Herron",101.889068277792,195
"Shaun Bradley",108.381094732308,196
"Evan Weaver",152.911461039185,202
"Josh Metellus",113.066058744979,205
"Isaiah Hodgins",126.694316856994,207
"Dezmon Patmon",102.863130274275,212
"Freddie Swain",99.1967938769329,214
"K.J. Hill",124.861148658323,220
"Eno Benjamin",124.501637280988,222
"Cole McDonald",46.7625450816306,224
"Kenny Willekes",110.124344941706,225
"James Smith-Williams",79.6992093647714,229
"Casey Toohill",94.3618919413558,233
"Dane Jackson",125.127129457317,239
"Chapelle Russell",136.116249571706,241
"Malcolm Perry",130.360653254336,246
"Tyrie Cleveland",99.1967938769329,252
