"","X","Name","Position","College","DraftYear","Team","DraftRound","PickNumber","PlayerID","Games","AvgValue","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","ProBowls","AllPros"
"1",1279,"Harrison Butker","K",NA,2017,"CAR",7,233,"ButkHa00",45,14,4.977777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1773,"Stephen Gostkowski","K",NA,2006,"NE",4,118,"GostSt20",204,47,3.68627451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1883,"Dustin Hopkins","K",NA,2013,"BUF",6,177,"HopkDu00",71,15,3.38028169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1945,"Greg Zuerlein","K",NA,2012,"STL",6,171,"ZuerGr00",119,24,3.226890756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2024,"Jake Elliott","K",NA,2017,"CIN",5,153,"ElliJa03",47,9,3.063829787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2046,"Austin Seibert","K",NA,2019,"CLE",5,170,"SeibAu00",16,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2057,"Jason Sanders","K",NA,2018,"MIA",7,229,"SandJa00",32,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2063,"Matt Gay","K",NA,2019,"TB",5,145,"GayxMa00",16,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2076,"Ryan Succop","K",NA,2009,"KC",7,256,"SuccRy44",166,31,2.987951807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2134,"Mason Crosby","K",NA,2007,"GB",6,193,"CrosMa20",208,37,2.846153846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2205,"Blair Walsh","K",NA,2012,"MIN",6,175,"WalsBl00",89,15,2.696629213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2241,"Pat McAfee","K",NA,2009,"IND",7,222,"McAfPa44",127,21,2.645669291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2264,"Nick Folk","K",NA,2007,"DAL",6,178,"FolkNi20",161,26,2.583850932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2273,"Alex Henery","K",NA,2011,"PHI",4,120,"HeneAl00",50,8,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2290,"Randy Bullock","K",NA,2012,"HOU",5,161,"BullRa00",95,15,2.526315789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2337,"Zane Gonzalez","K",NA,2017,"CLE",7,224,"GonzZa00",39,6,2.461538462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2398,"Daniel Carlson","K",NA,2018,"MIN",5,167,"CarlDa00",28,4,2.285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2600,"Matthew Bosher","K",NA,2011,"ATL",6,192,"BoshMa00",130,16,1.969230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2634,"Caleb Sturgis","K",NA,2013,"MIA",5,166,"SturCa00",68,8,1.882352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2920,"Justin Medlock","K",NA,2007,"KC",5,160,"MedlJu20",11,1,1.454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2930,"Paul Ernster","K",NA,2005,"DEN",7,239,"ErnsPa20",22,2,1.454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",3287,"David Buehler","K",NA,2009,"DAL",5,172,"BuehDa44",36,2,0.888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",3475,"John Potter","K",NA,2012,"BUF",7,251,"PottJo00",9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",3522,"Roberto Aguayo","K",NA,2016,"TB",2,59,"AguaRo00",16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",3539,"Zach Hocker","K",NA,2014,"WAS",7,228,"HockZa00",8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
