"","X","Name","Position","College","DraftYear","Team","DraftRound","PickNumber","PlayerID","Games","AvgValue","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","ProBowls","AllPros"
"1",2,"Darius Leonard","LB","South Carolina State",2018,"IND",2,36,"LeonDa00",28,30,17.14285714,74,234,NA,4.7,17,NA,NA,NA,NA,NA,NA
"2",13,"Patrick Willis","LB","Mississippi",2007,"SF",1,11,"WillPa98",112,107,15.28571429,73.125,242,NA,4.53,22,39,119,4.46,7.23,4,6
"3",15,"Bobby Wagner","LB","Utah State",2012,"SEA",2,47,"WagnBo00",119,112,15.05882353,72.375,241,NA,4.46,NA,NA,NA,NA,NA,NA,NA
"4",21,"Luke Kuechly","LB","Boston College",2012,"CAR",1,9,"KuecLu00",118,107,14.50847458,75.25,242,NA,4.58,27,38,123,4.12,6.92,2,3
"5",25,"Von Miller","LB","Texas A&M",2011,"DEN",1,2,"MillVo00",135,117,13.86666667,74.625,246,NA,4.42,21,37,126,4.06,6.7,6,4
"6",28,"C.J. Mosley","LB","Alabama",2014,"BAL",1,17,"MoslC.00",79,67,13.56962025,74,234,NA,4.65,NA,35,116,4.4,7.3,1,1
"7",34,"Brian Urlacher","LB","New Mexico",2000,"CHI",1,9,"UrlaBr00",182,150,13.18681319,75.9,258,NA,4.61,27,34,122,4.18,6.94,NA,NA
"8",36,"Khalil Mack","LB","Buffalo",2014,"OAK",1,5,"MackKh00",94,76,12.93617021,74.625,251,NA,4.65,23,40,127,4.18,7.08,1,1
"9",52,"NaVorro Bowman","LB",NA,2010,"SF",3,91,"BowmNa99",99,75,12.12121212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",54,"Tremaine Edmunds","LB","Virginia Tech",2018,"BUF",1,16,"EdmuTr01",31,23,11.87096774,76.5,253,NA,4.54,19,NA,117,NA,NA,NA,NA
"11",68,"DeMarcus Ware","LB","Troy (AL)",2005,"DAL",1,11,"WareDe99",178,128,11.50561798,76,251,NA,4.6,27,38.5,122,4.07,6.83,5,7
"12",74,"Lance Briggs","LB","Arizona",2003,"CHI",3,68,"BrigLa99",173,123,11.37572254,72.6,242,NA,4.78,25,33,113,NA,NA,NA,NA
"13",94,"Dont'a Hightower","LB","Alabama",2012,"NE",1,25,"HighDo01",102,70,10.98039216,74.25,265,NA,4.62,NA,32,NA,NA,NA,NA,NA
"14",97,"T.J. Watt","LB",NA,2017,"PIT",1,30,"WattT.00",47,32,10.89361702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",117,"Jon Beason","LB","Miami (FL)",2007,"CAR",1,25,"BeasJo99",93,61,10.49462366,72.25,237,NA,4.76,19,NA,111,NA,NA,1,NA
"16",119,"Clay Matthews","LB","Southern California",2009,"GB",1,26,"MattCl99",156,102,10.46153846,75.125,240,27,4.62,23,35.5,121,4.18,6.9,5,3
"17",132,"Jamie Collins","LB","Southern Mississippi",2013,"NE",2,52,"CollJa00",96,62,10.33333333,75.5,250,17,4.64,19,41.5,139,4.32,7.1,NA,1
"18",133,"Daryl Washington","LB","Texas Christian",2010,"ARI",2,47,"WashDa99",59,38,10.30508475,73.75,230,NA,4.58,17,31,114,NA,NA,NA,NA
"19",135,"Leighton Vander Esch","LB","Boise State",2018,"DAL",1,19,"VandLe00",25,16,10.24,76.25,256,NA,4.65,20,39.5,124,4.15,6.88,NA,NA
"20",145,"Terrell Suggs","LB",NA,2003,"BAL",1,10,"SuggTe99",244,155,10.16393443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",154,"Telvin Smith","LB","Florida State",2014,"JAX",5,144,"SmitTe01",76,48,10.10526316,75,218,NA,4.52,NA,31.5,117,NA,NA,NA,NA
"22",155,"Lofa Tatupu","LB","Southern California",2005,"SEA",2,45,"TatuLo99",84,53,10.0952381,71.875,238,NA,4.84,23,35,113,4.16,7.31,NA,1
"23",160,"Justin Houston","LB","Georgia",2011,"KC",3,70,"HousJu00",118,74,10.03389831,74.875,270,NA,4.62,30,36.5,125,4.37,6.95,2,2
"24",168,"Anthony Barr","LB","UCLA",2014,"MIN",1,9,"BarrAn00",85,53,9.976470588,76.875,255,NA,4.66,15,34.5,117,4.19,6.82,2,NA
"25",170,"Eric Kendricks","LB","UCLA",2015,"MIN",2,45,"KendEr00",74,46,9.945945946,72.25,232,14,4.61,19,38,124,NA,NA,NA,NA
"26",183,"Devin White","LB","Louisiana State",2019,"TB",1,5,"WhitDe02",13,8,9.846153846,72.125,237,NA,4.42,22,39.5,118,4.17,7.07,NA,NA
