"","X","Name","Position","College","DraftYear","Team","DraftRound","PickNumber","PlayerID","Games","AvgValue","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","ProBowls","AllPros"
"1",43,"Zack Martin","OL","Notre Dame",2014,"DAL",1,16,"MartZa00",94,74,12.59574468,76.25,308,NA,5.22,29,28,104,4.59,7.65,NA,NA
"2",47,"Jahri Evans","OL","Texas A&M",2006,"NO",4,108,"EvanJa21",183,142,12.41530055,76.5,316,NA,5.29,20,27,95,4.8,7.97,NA,NA
"3",48,"David Bakhtiari","OL","Colorado",2013,"GB",4,109,"BakhDa00",106,82,12.37735849,76.25,299,NA,5.18,28,25.5,101,4.74,7.7,NA,NA
"4",77,"Tyron Smith","OL","Southern California",2011,"DAL",1,9,"SmitTy00",131,93,11.35877863,77,307,NA,5.08,29,NA,NA,NA,NA,NA,2
"5",79,"Steve Hutchinson","OL","Michigan",2001,"SEA",1,17,"HutcSt00",169,119,11.26627219,77.1,315,NA,5.14,31,33.5,106,4.74,7.82,NA,NA
"6",81,"Matt Light","OL","Purdue",2001,"NE",2,48,"LighMa20",155,109,11.2516129,76.8,311,NA,5.3,26,NA,NA,4.49,7.84,NA,NA
"7",96,"Ryan Clady","OL","Boise State",2008,"DEN",1,12,"CladRy20",107,73,10.91588785,78.125,309,NA,NA,24,NA,NA,NA,NA,NA,NA
"8",103,"Sebastian Vollmer","OL","Houston",2009,"NE",2,58,"VollSe20",88,59,10.72727273,79.625,312,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",111,"Andrus Peat","OL","Stanford",2015,"NO",1,13,"PeatAn00",65,43,10.58461538,78.875,313,NA,5.18,NA,31,105,4.62,8.01,NA,NA
"10",116,"Mitchell Schwartz","OL","California",2012,"CLE",2,37,"SchwMi00",128,84,10.5,77.375,318,NA,5.38,23,26.5,89,4.87,7.86,NA,NA
"11",118,"Dan Koppen","OL","Boston College",2003,"NE",5,164,"KoppDa20",136,89,10.47058824,74.6,297,NA,5.31,27,28.5,101,4.46,8.24,1,1
"12",120,"Terron Armstead","OL","Arkansas-Pine Bluff",2013,"NO",3,75,"ArmsTe00",75,49,10.45333333,76.75,306,27,4.71,31,34.5,112,4.72,7.62,NA,NA
"13",125,"Trent Williams","OL","Oklahoma",2010,"WAS",1,4,"WillTr21",120,78,10.4,76.625,315,NA,4.81,23,34.5,113,4.63,7.64,NA,1
"14",129,"Jammal Brown","OL","Oklahoma",2005,"NO",1,13,"BrowJa55",85,55,10.35294118,77.875,316,NA,5.09,NA,31.5,109,4.67,7.93,NA,NA
"15",130,"Andrew Whitworth","OL","Louisiana State",2006,"CIN",2,55,"WhitAn20",215,139,10.34418605,79,334,NA,5.17,28,30.5,112,4.83,8.23,NA,1
"16",131,"Marcus McNeill","OL","Auburn",2006,"SD",2,50,"McNeMa20",82,53,10.34146341,79.625,336,NA,5.09,NA,31,98,5,8.19,NA,NA
"17",139,"Chris Snee","OL","Boston College",2004,"NYG",2,34,"SneeCh20",141,90,10.21276596,74.8,314,NA,5.1,29,30.5,104,4.66,7.75,NA,NA
"18",141,"Louis Vasquez","OL","Texas Tech",2009,"SD",3,78,"VasqLo20",102,65,10.19607843,76.75,333,NA,5.22,39,NA,NA,NA,NA,NA,NA
"19",144,"Travis Frederick","OL","Wisconsin",2013,"DAL",1,31,"FredTr00",96,61,10.16666667,75.625,312,NA,5.58,21,28.5,97,4.76,7.81,5,4
"20",146,"Shawn Andrews","OL","Arkansas",2004,"PHI",1,16,"AndrSh55",63,40,10.15873016,76.1,366,NA,5.49,27,25,98,4.85,8.25,NA,NA
"21",147,"Joe Thomas","OL","Wisconsin",2007,"CLE",1,3,"ThomJo28",167,106,10.15568862,78.63,311,NA,4.94,28,33,110,4.88,7.95,NA,1
"22",151,"Marshal Yanda","OL","Florida State",2007,"BAL",3,86,"YandMa20",177,112,10.12429379,75.875,307,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",152,"Jack Conklin","OL","Michigan State",2016,"TEN",1,8,"ConkJa00",57,36,10.10526316,77.75,308,NA,5,25,30,103,4.57,7.63,NA,NA
"24",161,"Jason Kelce","OL","Cincinnati",2011,"PHI",6,191,"KelcJa00",126,79,10.03174603,74.625,280,NA,4.89,NA,30.5,110,4.14,7.22,3,4
"25",166,"David DeCastro","OL","Stanford",2012,"PIT",1,24,"DeCaDa00",112,70,10,76.875,316,NA,5.32,34,29.5,98,4.56,7.3,NA,NA
"26",167,"Tytus Howard","OL","Alabama State",2019,"HOU",1,23,"HowaTy00",8,5,10,77,322,NA,5.05,21,29.5,103,4.87,8.34,NA,NA
"27",169,"Max Unger","OL","Oregon",2009,"SEA",2,49,"UngeMa20",130,81,9.969230769,76.625,309,NA,5.26,22,24.5,93,4.5,7.39,3,1
"28",172,"Jake Matthews","OL","Texas A&M",2014,"ATL",1,6,"MattJa00",95,59,9.936842105,77.5,308,NA,5.07,24,30.5,104,4.47,7.34,NA,NA
"29",178,"Duane Brown","OL","Virginia Tech",2008,"HOU",1,26,"BrowDu20",170,105,9.882352941,76.125,315,NA,5.09,24,27.5,105,4.52,7.58,NA,NA
