Name,Position,College,Weight,Forty,Vert,Bench,Broad,ThreeCone,Shuttle
Jabari Zuniga,DL,Florida,264,4.64,33,29,127,,
David Woodward,LB,Utah State,230,4.79,33.5,16,114,7.34,4.37
D.J. Wonnum,DL,South Carolina,258,4.73,34.5,20,123,7.25,4.44
Charlie Woerner,TE,Georgia,244,4.78,34.5,21,120,7.18,4.46
Tristan Wirfs,OL,Iowa,320,4.85,36.5,24,121,7.65,4.68
Antoine Winfield Jr.,S,Minnesota,203,4.45,36,,124,,
Logan Wilson,LB,Wyoming,241,4.63,32,21,121,7.07,4.27
Isaiah Wilson,OL,Georgia,350,5.32,29,26,110,8.26,5.07
Raequan Williams,DL,Michigan State,308,5.04,25.5,17,101,7.72,4.78
Kenny Willekes,DL,Michigan State,264,4.87,32.5,32,119,7.39,
Jedrick Wills,OL,Alabama,312,5.05,34.5,,113,,4.84
Darryl Williams,OL,Mississippi State,304,5.23,25.5,23,102,7.88,4.76
Mitchell Wilcox,TE,South Florida,247,4.88,31,,112,7.37,4.43
Cody White,WR,Michigan State,217,4.66,35.5,,120,7.19,4.52
Evan Weaver,LB,California,237,4.76,32,15,117,7.02,4.21
Curtis Weaver,LB,Boise State,265,,32.5,,116,7,4.27
K'Von Wallace,S,Clemson,206,4.53,38,18,133,6.76,4.15
Mykal Walker,LB,Fresno State,230,4.65,33,20,122,7.09,4.25
Kindle Vildor,CB,Georgia Southern,191,4.44,39.5,22,133,7.14,4.28
Ke'Shawn Vaughn,RB,Vanderbilt,214,4.51,32,,117,,
Casey Toohill,LB,Stanford,250,4.62,39,17,126,7.08,4.21
Calvin Throckmorton,OL,Oregon,317,5.57,27,23,97,8.07,4.98
Jeff Thomas,WR,Miami,170,4.45,36.5,,125,,
Daniel Thomas,S,Auburn,215,4.51,37,24,125,,
Andrew Thomas,OL,Georgia,315,5.22,30.5,21,109,7.58,4.66
A.J. Terrell,CB,Clemson,195,4.42,34.5,15,129,,
Patrick Taylor,RB,Memphis,217,4.57,34,15,123,,4.34
Jonathan Taylor,RB,Wisconsin,226,4.39,36,17,123,7.01,4.24
J.J. Taylor,RB,Arizona,185,4.61,34.5,19,118,7,4.15
Davion Taylor,LB,Colorado,228,4.49,35,21,127,6.96,4.26
D'Andre Swift,RB,Georgia,212,4.48,35.5,,121,,
Freddie Swain,WR,Florida,197,4.46,36.5,16,124,7.05,4.26
Stephen Sullivan,TE,LSU,248,4.66,36.5,,123,7.51,4.62
Jason Strowbridge,DL,North Carolina,275,4.89,31,26,113,7.45,4.37
Justin Strnad,LB,Wake Forest,238,4.74,29,,113,,4.49
Geno Stone,S,Iowa,207,4.62,33.5,12,116,,
Darrell Stewart,WR,Michigan State,212,,35,15,117,,
Logan Stenberg,OL,Kentucky,317,5.3,26,,104,8,4.83
Terence Steele,OL,Texas Tech,312,5.03,27.5,27,106,,5.08
L'Jarius Sneed,S,Louisiana Tech,192,4.37,41,12,131,,
James Smith-Williams,DL,North Carolina State,265,4.6,32,28,123,7.35,4.52
John Simpson,OL,Clemson,321,5.24,30,34,107,8.03,4.87
