"","X","Name","Position","College","DraftYear","Team","DraftRound","PickNumber","PlayerID","Games","AvgValue","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","ProBowls","AllPros"
"1",1701,"Shane Lechler","P",NA,2000,"OAK",5,142,"LechSh20",286,69,3.86013986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2009,"Andy Lee","P",NA,2004,"SF",6,188,"LeexAn20",248,48,3.096774194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2094,"Brandon Fields","P",NA,2007,"MIA",7,225,"FielBr20",130,24,2.953846154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2133,"Thomas Morstead","P",NA,2009,"NO",5,164,"MorsTh00",174,31,2.850574713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2215,"Drew Kaser","P",NA,2016,"SD",6,179,"KaseDr00",36,6,2.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2272,"Sam Martin","P",NA,2013,"DET",5,165,"MartSa01",106,17,2.566037736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2277,"Donnie Jones","P",NA,2004,"SEA",7,224,"JoneDo21",226,36,2.548672566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2303,"Logan Cooke","P",NA,2018,"JAX",7,247,"CookLo00",32,5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2304,"Michael Dickson","P",NA,2018,"SEA",5,149,"DickMi00",32,5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2334,"Mike Scifres","P",NA,2003,"SD",5,149,"ScifMi20",195,30,2.461538462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2344,"Sam Koch","P",NA,2006,"BAL",6,203,"KochSa20",224,34,2.428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2355,"Bryan Anger","P",NA,2012,"JAX",3,70,"AngeBr00",126,19,2.412698413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2404,"Dustin Colquitt","P",NA,2005,"KC",3,99,"ColqDu20",238,34,2.285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2434,"Lac Edwards","P",NA,2016,"NYJ",7,235,"EdwaLa01",64,9,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2448,"Kevin Huber","P",NA,2009,"CIN",5,142,"HubeKe20",174,24,2.206896552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2462,"Dave Zastudil","P",NA,2002,"BAL",4,112,"ZastDa20",162,22,2.172839506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2470,"Daniel Sepulveda","P",NA,2007,"PIT",4,112,"SepuDa20",52,7,2.153846154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2534,"Pat O'Donnell","P",NA,2014,"CHI",6,191,"ODonPa00",95,12,2.021052632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2535,"Nick Harris","P",NA,2001,"DEN",4,120,"HarrNi20",183,23,2.010928962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2539,"Brad Nortman","P",NA,2012,"CAR",6,207,"NortBr00",96,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2560,"Jake Bailey","P",NA,2019,"NE",5,163,"BailJa00",16,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2564,"JK Scott","P",NA,2018,"GB",5,172,"ScotJK00",32,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2566,"Johnny Townsend","P",NA,2018,"OAK",5,173,"TownJo01",16,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2575,"Matt Dodge","P",NA,2010,"NYG",7,221,"DodgMa99",16,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2577,"Mitch Wishnowsky","P",NA,2019,"SF",4,110,"WishMi00",16,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2585,"Riley Dixon","P",NA,2016,"DEN",7,228,"DixoRi00",64,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2651,"Ryan Plackemeier","P",NA,2006,"SEA",7,239,"PlacRy20",43,5,1.860465116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2751,"Zoltan Mesko","P",NA,2010,"NE",5,150,"MeskZo99",56,6,1.714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2788,"Jeff Locke","P",NA,2013,"MIN",5,155,"LockJe00",69,7,1.623188406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2792,"Bradley Pinion","P",NA,2015,"SF",5,165,"PiniBr00",80,8,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2971,"Adam Podlesh","P",NA,2007,"JAX",4,101,"PodlAd20",107,9,1.345794393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",3048,"Reggie Hodges","P",NA,2005,"STL",6,210,"HodgRe20",64,5,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",3107,"B.J. Sander","P",NA,2004,"GB",3,87,"SandB.20",14,1,1.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",3119,"Eddie Johnson","P",NA,2003,"MIN",6,180,"JohnEd22",14,1,1.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
