"","Name","Position","College","Draft.Year","Team","Draft.Round","Pick.Number","PlayerID","Games","Avg.Value","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","Pro.Bowls","All.Pros"
"1","Rob Gronkowski","TE","Arizona",2010,"NE",2,42,"GronRo00",115,82,11.4086956521739,78.25,258,NA,4.68,23,NA,NA,NA,NA,5,5
"2","Travis Kelce","TE","Cincinnati",2013,"KC",3,63,"KelcTr00",96,66,11,76.875,257,22,4.63,NA,NA,NA,NA,NA,5,4
"3","Aaron Hernandez","TE","Florida",2010,"NE",4,113,"HernAa00",38,23,9.68421052631579,74.375,245,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","George Kittle","TE","Iowa",2017,"SF",5,146,"KittGe00",45,25,8.88888888888889,75.75,247,NA,4.52,18,35,132,4.59,NA,2,2
"5","Mark Andrews","TE","Oklahoma",2018,"BAL",3,86,"AndrMa00",31,17,8.7741935483871,77.125,256,NA,4.67,17,31,113,4.38,7.34,1,NA
"6","Jason Witten","TE","Tennessee",2003,"DAL",3,69,"WittJa00",255,118,7.40392156862745,77.8,264,NA,4.65,25,31,NA,NA,NA,11,6
"7","Jimmy Graham","TE","Miami (FL)",2010,"NO",3,95,"GrahJi00",153,70,7.3202614379085,78.25,260,NA,4.53,NA,38.5,120,4.45,6.9,5,2
"8","Zach Ertz","TE","Stanford",2013,"PHI",2,35,"ErtzZa00",106,46,6.94339622641509,77,249,26,4.76,24,30.5,111,4.47,7.08,3,1
"9","Jeremy Shockey","TE",NA,2002,"NYG",1,14,"ShocJe00",136,59,6.94117647058824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Dallas Clark","TE","Iowa",2003,"IND",1,24,"ClarDa00",143,61,6.82517482517482,75.4,257,NA,4.65,NA,37.5,123,NA,NA,1,1
"11","Jermichael Finley","TE","Texas",2008,"GB",3,91,"FinlJe00",70,29,6.62857142857143,76.5,243,NA,4.86,20,27.5,117,4.38,7.15,NA,NA
"12","Evan Engram","TE","Mississippi",2017,"NYG",1,23,"EngrEv00",34,14,6.58823529411765,75.125,234,26,4.42,19,36,125,4.23,6.92,NA,NA
"13","Kellen Winslow","TE","Miami (FL)",2004,"CLE",1,6,"WinsKe01",105,43,6.55238095238095,75.9,251,NA,4.62,24,NA,120,NA,NA,2,1
"14","Jordan Reed","TE","Florida",2013,"WAS",3,85,"ReedJo02",65,26,6.4,74.5,236,NA,4.72,16,NA,NA,NA,NA,1,NA
"15","Will Dissly","TE","Washington",2018,"SEA",4,120,"DissWi00",10,4,6.4,75.75,262,NA,4.87,15,28,111,4.4,7.07,NA,NA
"16","Greg Olsen","TE","Miami (FL)",2007,"CHI",1,31,"OlseGr00",188,74,6.29787234042553,77.88,254,NA,4.53,23,35.5,114,4.48,7.04,3,3
"17","Owen Daniels","TE","Wisconsin",2006,"HOU",4,98,"DaniOw00",131,49,5.98473282442748,75.375,253,NA,4.66,23,34.5,114,4.1,6.87,2,NA
"18","Todd Heap","TE","Arizona State",2001,"BAL",1,31,"HeapTo00",145,53,5.84827586206897,76.6,252,NA,4.68,22,32,NA,NA,NA,2,1
"19","Heath Miller","TE","Virginia",2005,"PIT",1,30,"MillHe00",168,59,5.61904761904762,77,256,NA,NA,NA,NA,NA,NA,NA,2,NA
"20","Hunter Henry","TE","Arkansas",2016,"SD",2,35,"HenrHu00",41,14,5.46341463414634,76.875,250,NA,NA,13,NA,NA,NA,NA,NA,1
"21","Austin Hooper","TE","Stanford",2016,"ATL",3,81,"HoopAu00",59,20,5.42372881355932,75.75,254,NA,4.72,19,33,117,4.32,7,2,NA
"22","Devin Funchess","TE",NA,2015,"CAR",2,41,"FuncDe00",62,21,5.41935483870968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Dustin Keller","TE","Purdue",2008,"NYJ",1,30,"KellDu00",72,24,5.33333333333333,74.13,242,NA,4.57,26,38,131,4.14,6.88,NA,NA
"24","Jared Cook","TE","South Carolina",2009,"TEN",3,89,"CookJa02",163,54,5.30061349693251,77,246,NA,4.49,23,41,123,NA,NA,2,NA
"25","Vernon Davis","TE","Maryland",2006,"SF",1,6,"DaviVe00",198,65,5.25252525252525,75.25,254,NA,4.39,33,42,128,4.17,7,2,1
"26","Eric Ebron","TE","North Carolina",2014,"DET",1,10,"EbroEr00",83,27,5.20481927710843,76.375,250,16,4.6,24,32,120,NA,NA,1,NA
