"","Name","Position","College","Draft.Year","Team","Draft.Round","Pick.Number","PlayerID","Games","Avg.Value","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","Pro.Bowls","All.Pros"
"1","Michael Thomas","WR","Ohio State",2016,"NO",2,47,"ThomMi05",63,58,14.7301587301587,74.75,212,NA,4.57,18,35,126,4.13,6.8,3,3
"2","Julio Jones","WR","Alabama",2011,"ATL",1,6,"JoneJu02",126,113,14.3492063492063,74.75,220,NA,4.34,17,38.5,135,4.25,6.66,7,6
"3","Tyreek Hill","WR","West Alabama",2016,"KC",5,165,"HillTy00",59,50,13.5593220338983,68.125,185,NA,NA,NA,NA,NA,NA,NA,3,NA
"4","Antonio Brown","WR","Central Michigan",2010,"PIT",6,195,"BrowAn04",131,102,12.4580152671756,70.125,186,NA,4.56,13,33.5,105,4.18,6.98,6,5
"5","Reggie Wayne","WR","Miami (FL)",2001,"IND",1,30,"WaynRe00",211,155,11.7535545023697,72,198,NA,4.45,NA,36,NA,NA,NA,6,4
"6","A.J. Green","WR","Georgia",2011,"CIN",1,4,"GreeA.00",111,80,11.5315315315315,75.625,211,10,4.48,18,34.5,126,4.21,6.91,7,3
"7","Odell Beckham","WR","Louisiana State",2014,"NYG",1,12,"BeckOd00",75,54,11.52,71.25,198,NA,4.43,7,38.5,122,3.94,6.69,3,3
"8","Calvin Johnson","WR","Georgia Tech",2007,"DET",1,2,"JohnCa00",135,93,11.0222222222222,77,239,NA,4.38,NA,NA,NA,NA,NA,6,4
"9","T.Y. Hilton","WR","Florida International",2012,"IND",3,92,"HiltT.00",118,77,10.4406779661017,69.5,183,NA,4.37,NA,NA,NA,NA,NA,4,NA
"10","Keenan Allen","WR","California",2013,"SD",3,76,"AlleKe00",86,56,10.4186046511628,74,206,NA,NA,NA,NA,NA,NA,NA,3,2
"11","Andre Johnson","WR","Miami (FL)",2003,"HOU",1,3,"JohnAn02",193,125,10.3626943005181,74,230,NA,4.4,NA,39,132,NA,NA,7,6
"12","Percy Harvin","WR","Florida",2009,"MIN",1,22,"HarvPe00",75,48,10.24,71.125,192,12,4.39,19,NA,NA,NA,NA,NA,1
"13","Brandin Cooks","WR","Oregon State",2014,"NO",1,20,"CookBr00",88,56,10.1818181818182,69.75,189,NA,4.33,16,36,120,3.81,6.76,NA,NA
"14","Steve Smith","WR","Utah",2001,"CAR",3,74,"SmitSt01",219,139,10.1552511415525,69,184,NA,4.44,NA,38.5,121,4.25,7.44,6,4
"15","Stefon Diggs","WR","Maryland",2015,"MIN",5,146,"DiggSt00",70,44,10.0571428571429,72,195,NA,4.46,NA,35,115,4.32,7.03,NA,NA
"16","Dez Bryant","WR","Oklahoma State",2010,"DAL",1,24,"BryaDe01",113,71,10.0530973451327,74,225,NA,NA,NA,NA,NA,NA,NA,3,1
"17","Chad Johnson","WR","Oregon State",2001,"CIN",2,36,"JohnCh01",166,104,10.0240963855422,73,192,NA,4.58,NA,33,108,4.14,7.51,6,4
