"","Year","Name","College","Position","Height","Weight","Wonderlic","X40YD","Bench","Vert","Broad","Shuttle","X3Cone","ProBowls","AllPros","Success"
"1",1998,"Peyton Manning","Tennessee","QB",77.3,230,NA,NA,NA,NA,NA,NA,NA,14,10,34
"2",1997,"Tony Gonzalez","California","TE",76.1,244,NA,4.83,NA,33.5,116,4.06,7.75,14,10,34
"3",2000,"Tom Brady","Michigan","QB",76.4,211,33,5.3,NA,24.5,99,4.38,7.2,14,7,28
"4",1991,"Brett Favre","Southern Mississippi","QB",74,217,NA,NA,NA,NA,NA,NA,NA,11,7,25
"5",1996,"Marvin Harrison","Syracuse","WR",71.9,181,NA,NA,NA,NA,NA,NA,NA,8,8,24
"6",1994,"Kevin Mawae","Louisiana State","C",75.6,385,NA,5.35,22,29,108,4.57,NA,8,8,24
"7",2001,"Drew Brees","Purdue","QB",72.3,213,28,4.85,NA,32,105,4.21,7.09,13,5,23
"8",2003,"Jason Witten","Tennessee","TE",77.8,264,NA,4.65,25,31,NA,NA,NA,11,6,23
"9",2007,"Adrian Peterson","Oklahoma","RB",73.5,217,16,4.41,NA,38.5,127,4.4,7.09,7,7,21
"10",2002,"Adrian Peterson","Georgia Southern","RB",70,214,NA,4.69,14,34,117,4.6,7.59,7,7,21
"11",1990,"Shannon Sharpe","Savannah State (GA)","TE",73.3,221,NA,4.67,NA,34,122,4.55,NA,8,6,20
"12",2011,"Julio Jones","Alabama","WR",74.75,220,NA,4.34,17,38.5,135,4.25,6.66,7,6,19
"13",2003,"Andre Johnson","Miami (FL)","WR",74,230,NA,4.4,NA,39,132,NA,NA,7,6,19
"14",1988,"Dermontti Dawson","Kentucky","C",74.3,272,NA,4.94,24,30,109,4.34,NA,7,6,19
"15",2010,"Ndamukong Suh","Nebraska","DT",75.875,307,NA,5.03,32,35.5,105,4.44,7.21,5,7,19
"16",2005,"DeMarcus Ware","Troy (AL)","OLB",76,251,NA,4.6,27,38.5,122,4.07,6.83,5,7,19
"17",1989,"Steve Atwater","Arkansas","FS",75.5,212,NA,4.63,7,37.5,114,4.14,NA,7,6,19
"18",2010,"Maurkice Pouncey","Florida","C",76.5,304,NA,5.25,NA,NA,95,4.92,7.74,8,5,18
"19",2014,"Aaron Donald","Pittsburgh","DT",72.75,285,NA,4.68,35,32,115,4.39,7.11,6,6,18
"20",2001,"LaDainian Tomlinson","Texas Christian","RB",70.3,221,NA,4.43,18,40.5,124,4.21,6.84,5,6,17
"21",1988,"Thurman Thomas","Oklahoma State","RB",69.9,198,NA,4.47,13,33,114,4.21,NA,5,6,17
"22",2011,"J.J. Watt","Wisconsin","DE",77.375,290,NA,4.91,34,37,120,4.21,6.88,5,6,17
"23",2005,"Aaron Rodgers","California","QB",74,223,39,4.75,NA,34.5,110,NA,7.38,8,4,16
"24",1994,"Marshall Faulk","San Diego State","RB",70.1,206,NA,NA,NA,NA,NA,NA,NA,6,5,16
"25",2010,"Antonio Brown","Central Michigan","WR",70.125,186,NA,4.56,13,33.5,105,4.18,6.98,6,5,16
"26",1998,"Randy Moss","Marshall (WV)","WR",75.6,194,17,4.38,NA,33,117,4.17,7.19,6,5,16
"27",1996,"Terrell Owens","Tennessee-Chattanooga","WR",74.9,213,NA,4.65,NA,33,120,4.26,NA,6,5,16
"28",1997,"Jason Taylor","Akron","DE",78,243,NA,4.67,18,32,111,4.07,7.27,6,5,16
"29",2010,"Geno Atkins","Georgia","DT",73.375,293,NA,4.75,34,33,117,4.43,7.33,6,5,16
"30",2007,"Patrick Willis","Mississippi","ILB",73.125,242,NA,4.53,22,39,119,4.46,7.23,4,6,16
"31",2007,"Darrelle Revis","Pittsburgh","CB",71.5,204,NA,NA,16,NA,NA,NA,NA,6,5,16
"32",1995,"Curtis Martin","Pittsburgh","RB",71.3,203,NA,NA,16,41.5,131,4.1,NA,5,5,15
"33",1988,"Sterling Sharpe","South Carolina","WR",71.5,202,NA,NA,NA,NA,NA,NA,NA,5,5,15
"34",2010,"Rob Gronkowski","Arizona","TE",78.25,258,NA,4.68,23,NA,NA,NA,NA,5,5,15
"35",1988,"Keith Jackson","Oklahoma","TE",74.4,250,NA,4.69,NA,29,NA,4.59,NA,5,5,15
"36",2006,"Nick Mangold","Ohio State","C",75.63,300,NA,5.09,24,27.5,104,4.36,7.47,7,4,15
"37",2002,"Dwight Freeney","Syracuse","DE",72.9,266,NA,4.48,28,NA,NA,NA,NA,7,4,15
"38",2006,"Haloti Ngata","Oregon","DT",76.125,338,NA,5.18,37,31.5,110,4.65,7.95,5,5,15
"39",2007,"Calvin Johnson","Georgia Tech","WR",77,239,NA,4.38,NA,NA,NA,NA,NA,6,4,14
"40",2007,"Steve Smith","Southern California","WR",71.75,197,NA,4.45,NA,38,120,4.19,6.68,6,4,14
"41",2006,"Brandon Marshall","Central Florida","WR",76.5,229,NA,4.54,28,37,120,4.09,7.05,6,4,14
"42",2001,"Chad Johnson","Oregon State","WR",73,192,NA,4.58,NA,33,108,4.14,7.51,6,4,14
"43",2001,"Steve Smith","Utah","WR",69,184,NA,4.44,NA,38.5,121,4.25,7.44,6,4,14
"44",2001,"Reggie Wayne","Miami (FL)","WR",72,198,NA,4.45,NA,36,NA,NA,NA,6,4,14
"45",1998,"Olin Kreutz","Washington","C",74.1,300,NA,5.32,30,28,100,4.55,8.1,6,4,14
"46",1998,"Jeff Saturday","North Carolina","C",74.4,292,NA,5.24,25,25,100,4.85,8.52,6,4,14
"47",2010,"Gerald McCoy","Oklahoma","DT",76.125,295,NA,5.04,23,30.5,114,4.48,7.32,6,4,14
"48",2011,"Von Miller","Texas A&M","OLB",74.625,246,NA,4.42,21,37,126,4.06,6.7,6,4,14
"49",2018,"Anthony Miller","Memphis","WR",71.125,201,NA,NA,22,NA,NA,NA,NA,5,4,13
"50",2011,"A.J. Green","Georgia","WR",75.625,211,10,4.48,18,34.5,126,4.21,6.91,7,3,13
"51",1989,"Andre Rison","Michigan State","WR",70,187,NA,4.47,NA,35,114,3.96,NA,5,4,13
"52",1988,"Anthony Miller","Tennessee","WR",70.6,181,NA,4.38,14,32,111,4.2,NA,5,4,13
"53",2013,"Travis Kelce","Cincinnati","TE",76.875,257,22,4.63,NA,NA,NA,NA,NA,5,4,13
"54",1991,"Ben Coates","Livingstone (NC)","TE",76.5,243,NA,4.95,15,28,109,4.56,NA,5,4,13
"55",1989,"Wesley Walls","Mississippi","TE",76.5,240,NA,4.77,NA,NA,110,NA,NA,5,4,13
"56",2013,"Travis Frederick","Wisconsin","C",75.625,312,NA,5.58,21,28.5,97,4.76,7.81,5,4,13
"57",2007,"Ryan Kalil","Southern California","C",74.75,299,NA,4.98,34,26,104,4.34,7.5,5,4,13
"58",2011,"Cameron Jordan","California","DE",76.125,287,NA,4.74,25,31,117,4.37,7.07,5,4,13
"59",2004,"Jared Allen","Idaho State","DE",78,265,NA,4.76,13,33,120,4.34,7.11,5,4,13
"60",2011,"Richard Sherman","Stanford","CB",74.625,195,NA,4.54,16,38,125,4.33,6.82,3,5,13
"61",2004,"Philip Rivers","North Carolina State","QB",77,229,30,5.08,NA,NA,NA,NA,NA,8,2,12
"62",1999,"Edgerrin James","Miami (FL)","RB",72,216,NA,4.38,NA,NA,NA,3.88,6.87,4,4,12
"63",2013,"DeAndre Hopkins","Clemson","WR",73,214,NA,4.57,15,36,115,4.5,NA,4,4,12
"64",2009,"Alex Mack","California","C",75.875,311,NA,NA,NA,NA,NA,NA,NA,6,3,12
"65",2008,"Calais Campbell","Miami (FL)","DE",79.75,290,NA,5.11,16,29.5,111,4.69,7.45,4,4,12
"66",2006,"Mario Williams","North Carolina State","DE",74.4,269,NA,4.75,25,34,111,4.54,7.49,4,4,12
"67",1993,"Michael Strahan","Texas Southern","DE",76.3,252,NA,4.94,25,32.5,120,4.47,NA,4,4,12
"68",2004,"Vince Wilfork","Miami (FL)","DT",73.3,323,NA,5.21,36,NA,NA,NA,NA,4,4,12
"69",1996,"Ray Lewis","Miami (FL)","ILB",72.4,235,NA,NA,NA,NA,NA,NA,NA,2,5,12
"70",2011,"Patrick Peterson","Louisiana State","CB",72.25,219,NA,4.31,15,38,126,4.07,6.58,6,3,12
"71",1999,"Champ Bailey","Georgia","CB",71.8,184,NA,4.28,NA,37,121,3.79,NA,4,4,12
"72",1991,"Merton Hanks","Iowa","FS",73.5,177,NA,4.77,NA,36,117,4.15,NA,4,4,12
"73",1995,"Terrell Davis","Georgia","RB",71.6,213,NA,4.72,NA,35,120,4.41,NA,3,4,11
"74",1991,"Ricky Watters","Notre Dame","RB",73,212,NA,4.71,18,34.5,111,4.41,NA,5,3,11
